X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,entidad,Delegaci__n,colonia,lugar,entrecalles,calle,numero_exterior,Necesidades,link_google_maps,lon,lat
-99.199703,19.387702,,"entidad: CdMx<br>Delegación: Álvaro Obregón<br>colonia: Col. Victoria<br>lugar: Deportivo<br>entrecalles: <br>calle: Av. Escuadrón 201<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Gimnasio+G3/@19.3879094,-99.2016178,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201d23ca236e7:0x4446f4b6137a26a8!8m2!3d19.3879044!4d-99.1994238?hl=es<br>lon: -99.199703<br>lat: 19.387702",,,,,-1,0,-1,,,CdMx,Álvaro Obregón,Col. Victoria,Deportivo,,Av. Escuadrón 201,,,"https://www.google.com.mx/maps/place/Gimnasio+G3/@19.3879094,-99.2016178,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201d23ca236e7:0x4446f4b6137a26a8!8m2!3d19.3879044!4d-99.1994238?hl=es",-99.199703,19.387702
-99.1845903,19.4838002,,"entidad: CdMx<br>Delegación: Azcapotzalco<br>colonia: Azcapotzalco, Centro<br>lugar: Delegación<br>entrecalles: <br>calle: Castilla Oriente<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Delegaci%C3%B3n+Azcapotzalco/@19.4838002,-99.1845903,14z/data=!4m8!1m2!2m1!1sdelegaci%C3%B3n+azcapotzalco+edificio+gobierno!3m4!1s0x85d1f87eab3ae1dd:0xfef6890ee17c884e!8m2!3d19.4840941!4d-99.1843859<br>lon: -99.1845903<br>lat: 19.4838002",,,,,-1,0,-1,,,CdMx,Azcapotzalco,"Azcapotzalco, Centro",Delegación,,Castilla Oriente,,,"https://www.google.com.mx/maps/place/Delegaci%C3%B3n+Azcapotzalco/@19.4838002,-99.1845903,14z/data=!4m8!1m2!2m1!1sdelegaci%C3%B3n+azcapotzalco+edificio+gobierno!3m4!1s0x85d1f87eab3ae1dd:0xfef6890ee17c884e!8m2!3d19.4840941!4d-99.1843859",-99.1845903,19.4838002
-99.158393,19.371305,,"entidad: CdMx<br>Delegación: Benito Juárez<br>colonia: Sta Cruz Atoyac<br>lugar: Deportivo Benito Juárez.<br>entrecalles: <br>calle: Calle Uxmal 807B,, 03310 Ciudad de México, CDMX <br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Centro+Deportivo+%22Benito+Ju%C3%A1rez%22/@19.4280232,-99.2166922,12z/data=!4m8!1m2!2m1!1sDeportivo+Benito+Ju%C3%A1rez!3m4!1s0x85d1ffbadd52cc67:0x6f26499876157670!8m2!3d19.3715078!4d-99.1586286?hl=es<br>lon: -99.158393<br>lat: 19.371305",,,,,-1,0,-1,,,CdMx,Benito Juárez,Sta Cruz Atoyac,Deportivo Benito Juárez.,,"Calle Uxmal 807B,, 03310 Ciudad de México, CDMX",,,"https://www.google.com.mx/maps/place/Centro+Deportivo+%22Benito+Ju%C3%A1rez%22/@19.4280232,-99.2166922,12z/data=!4m8!1m2!2m1!1sDeportivo+Benito+Ju%C3%A1rez!3m4!1s0x85d1ffbadd52cc67:0x6f26499876157670!8m2!3d19.3715078!4d-99.1586286?hl=es",-99.158393,19.371305
-99.121312,19.303176,,"entidad: CdMx<br>Delegación: Coyoacan<br>colonia: Campestre Coyoacan<br>lugar: Deportivo Rosario Iglesias.<br>entrecalles: <br>calle: Calz. del Hueso 400, Los Girasoles, 04920 <br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Centro+Social+y+Deportivo+Rosario+Iglesias+Rocha/@19.3033029,-99.1233128,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0198314c94f1:0xa7e901200af3b194!8m2!3d19.3032979!4d-99.1211187?hl=es<br>lon: -99.121312<br>lat: 19.303176",,,,,-1,0,-1,,,CdMx,Coyoacan,Campestre Coyoacan,Deportivo Rosario Iglesias.,,"Calz. del Hueso 400, Los Girasoles, 04920",,,"https://www.google.com.mx/maps/place/Centro+Social+y+Deportivo+Rosario+Iglesias+Rocha/@19.3033029,-99.1233128,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0198314c94f1:0xa7e901200af3b194!8m2!3d19.3032979!4d-99.1211187?hl=es",-99.121312,19.303176
-99.1306164,19.4406296,,"entidad: CdMx<br>Delegación: Cuauhtemoc<br>colonia: Centro <br>lugar: Plaza del Estudiante<br>entrecalles: <br>calle: Peña S/N<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Plaza+del+Estudiante/@19.4406346,-99.1306164,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f936b03c52d1:0xb672a9a9d70e1646!8m2!3d19.4406296!4d-99.1284223?hl=es<br>lon: -99.1306164<br>lat: 19.4406296",,,,,-1,0,-1,,,CdMx,Cuauhtemoc,Centro,Plaza del Estudiante,,Peña S/N,,,"https://www.google.com.mx/maps/place/Plaza+del+Estudiante/@19.4406346,-99.1306164,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f936b03c52d1:0xb672a9a9d70e1646!8m2!3d19.4406296!4d-99.1284223?hl=es",-99.1306164,19.4406296
-99.1617717,19.4553387,,"entidad: CdMx<br>Delegación: Cuauhtémoc<br>colonia: Atlampa<br>lugar: Preparatoria Popular Martires de Tlatelolco AC <br>entrecalles: <br>calle: Calle Fresno <br>numero_exterior: 301<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Preparatoria+Popular+Martires+de+Tlatelolco+AC+(Bachillerato)/@19.4553387,-99.1617717,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8c24c6a66b7:0xa7f381afae2a236c!8m2!3d19.4553387!4d-99.159583<br>lon: -99.1617717<br>lat: 19.4553387",,,,,-1,0,-1,,,CdMx,Cuauhtémoc,Atlampa,Preparatoria Popular Martires de Tlatelolco AC,,Calle Fresno,301,,"https://www.google.com.mx/maps/place/Preparatoria+Popular+Martires+de+Tlatelolco+AC+(Bachillerato)/@19.4553387,-99.1617717,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8c24c6a66b7:0xa7f381afae2a236c!8m2!3d19.4553387!4d-99.159583",-99.1617717,19.4553387
-99.1736609,19.4048648,,"entidad: CdMx<br>Delegación: Cuauhtémoc<br>colonia: Col. Hipódromo Condesa<br>lugar: Club Junior<br>entrecalles: <br>calle: Sindicalismo<br>numero_exterior: 3<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Junior+Club/@19.4048648,-99.1736609,17z/data=!4m12!1m6!3m5!1s0x85d21ce7601f431d:0xbbb79daa6428a1e2!2sJunior+Club!8m2!3d19.4053202!4d-99.1721589!3m4!1s0x85d21ce7601f431d:0xbbb79daa6428a1e2!8m2!3d19.4053202!4d-99.1721589<br>lon: -99.1736609<br>lat: 19.4048648",,,,,-1,0,-1,,,CdMx,Cuauhtémoc,Col. Hipódromo Condesa,Club Junior,,Sindicalismo,3,,"https://www.google.com.mx/maps/place/Junior+Club/@19.4048648,-99.1736609,17z/data=!4m12!1m6!3m5!1s0x85d21ce7601f431d:0xbbb79daa6428a1e2!2sJunior+Club!8m2!3d19.4053202!4d-99.1721589!3m4!1s0x85d21ce7601f431d:0xbbb79daa6428a1e2!8m2!3d19.4053202!4d-99.1721589",-99.1736609,19.4048648
-99.1535962,19.4424244,,"entidad: CdMx<br>Delegación: Cuauhtémoc<br>colonia: Buenavista<br>lugar: Deportivo Cuautémoc<br>entrecalles: <br>calle: Luis Donaldo Colosio esq. Aldama,<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Deportivo+Cuauhtemoc/@19.4424244,-99.1535962,17z/data=!4m12!1m6!3m5!1s0x85d1f8d0b146cc93:0x6bf172007e144911!2sDeportivo+Cuauhtemoc!8m2!3d19.4424244!4d-99.1514075!3m4!1s0x85d1f8d0b146cc93:0x6bf172007e144911!8m2!3d19.4424244!4d-99.1514075<br>lon: -99.1535962<br>lat: 19.4424244",,,,,-1,0,-1,,,CdMx,Cuauhtémoc,Buenavista,Deportivo Cuautémoc,,"Luis Donaldo Colosio esq. Aldama,",,,"https://www.google.com.mx/maps/place/Deportivo+Cuauhtemoc/@19.4424244,-99.1535962,17z/data=!4m12!1m6!3m5!1s0x85d1f8d0b146cc93:0x6bf172007e144911!2sDeportivo+Cuauhtemoc!8m2!3d19.4424244!4d-99.1514075!3m4!1s0x85d1f8d0b146cc93:0x6bf172007e144911!8m2!3d19.4424244!4d-99.1514075",-99.1535962,19.4424244
-99.1502748,19.4397608,,"entidad: CdMx<br>Delegación: Cuauhtémoc<br>colonia: Guerrero<br>lugar: Deportivo Mina<br>entrecalles: <br>calle: Calle Mina <br>numero_exterior: 134<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Oficinas+Administrativas+del+deportivo+Mina/@19.4397608,-99.1502748,17z/data=!4m12!1m6!3m5!1s0x85d1f8d6613875a1:0x9e6946736fbd8e4b!2sOficinas+Administrativas+del+deportivo+Mina!8m2!3d19.4397608!4d-99.1480861!3m4!1s0x85d1f8d6613875a1:0x9e6946736fbd8e4b!8m2!3d19.4397608!4d-99.1480861<br>lon: -99.1502748<br>lat: 19.4397608",,,,,-1,0,-1,,,CdMx,Cuauhtémoc,Guerrero,Deportivo Mina,,Calle Mina,134,,"https://www.google.com.mx/maps/place/Oficinas+Administrativas+del+deportivo+Mina/@19.4397608,-99.1502748,17z/data=!4m12!1m6!3m5!1s0x85d1f8d6613875a1:0x9e6946736fbd8e4b!2sOficinas+Administrativas+del+deportivo+Mina!8m2!3d19.4397608!4d-99.1480861!3m4!1s0x85d1f8d6613875a1:0x9e6946736fbd8e4b!8m2!3d19.4397608!4d-99.1480861",-99.1502748,19.4397608
-99.289306,19.362448,,"entidad: CdMx<br>Delegación: Cuaujimalpa<br>colonia: Rosa Torres<br>lugar: Deportivo<br>entrecalles: esquina san José de los Cedros <br>calle: Calle José María Castorena <br>numero_exterior: 545<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/DEPORTIVO+MORELOS/@19.3639314,-99.2877607,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2073106bb90e7:0x8be1a9922614125f!8m2!3d19.3639264!4d-99.2855667?hl=es<br>lon: -99.289306<br>lat: 19.362448",,,,,-1,0,-1,,,CdMx,Cuaujimalpa,Rosa Torres,Deportivo,esquina san José de los Cedros,Calle José María Castorena,545,,"https://www.google.com.mx/maps/place/DEPORTIVO+MORELOS/@19.3639314,-99.2877607,17z/data=!3m1!4b1!4m5!3m4!1s0x85d2073106bb90e7:0x8be1a9922614125f!8m2!3d19.3639264!4d-99.2855667?hl=es",-99.289306,19.362448
-99.155068,19.506756,,"entidad: CdMx<br>Delegación: Gustavo A. Madero<br>colonia: La Patera Vallejo<br>lugar: Villa Mujeres. <br>entrecalles: <br>calle: Margarita Maza de Juárez 150 Bis,<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Centro+de+Asistencia+e+Integraci%C3%B3n+Social+Villa+Mujeres/@19.5070796,-99.1570639,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8371140cd57:0xd87c8d1e7b30916f!8m2!3d19.5070796!4d-99.1548752?hl=es<br>lon: -99.155068<br>lat: 19.506756",,,,,-1,0,-1,,,CdMx,Gustavo A. Madero,La Patera Vallejo,Villa Mujeres.,,"Margarita Maza de Juárez 150 Bis,",,,"https://www.google.com.mx/maps/place/Centro+de+Asistencia+e+Integraci%C3%B3n+Social+Villa+Mujeres/@19.5070796,-99.1570639,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f8371140cd57:0xd87c8d1e7b30916f!8m2!3d19.5070796!4d-99.1548752?hl=es",-99.155068,19.506756
-99.11004,19.483316,,"entidad: CdMx<br>Delegación: Gustavo A. Madero<br>colonia: Villa Gustavo A. Madero<br>lugar: Casa del peregrino. <br>entrecalles: <br>calle: Eje 5 Nte Calz San Juan de ARAGON 63<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Casa+Del+Peregrino+San+Juan+Diego/@19.4832959,-99.1122879,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f9828f6d605b:0x5fbfa967ac6a44b9!8m2!3d19.4832959!4d-99.1100992?hl=es<br>lon: -99.11004<br>lat: 19.483316",,,,,-1,0,-1,,,CdMx,Gustavo A. Madero,Villa Gustavo A. Madero,Casa del peregrino.,,Eje 5 Nte Calz San Juan de ARAGON 63,,,"https://www.google.com.mx/maps/place/Casa+Del+Peregrino+San+Juan+Diego/@19.4832959,-99.1122879,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f9828f6d605b:0x5fbfa967ac6a44b9!8m2!3d19.4832959!4d-99.1100992?hl=es",-99.11004,19.483316
-99.173115,19.453989,,"entidad: CdMx<br>Delegación: Miguel Hidalgo<br>colonia: Nextitla<br>lugar: Deportivo Plan Sexenal<br>entrecalles: <br>calle: Calle Ferrocarril de Cuernavaca<br>numero_exterior: <br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Deportivo+Plan+Sexenal/@19.4542365,-99.1751592,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f895efda1e37:0xd664cccbee1d6a82!8m2!3d19.4542315!4d-99.1729651?hl=es<br>lon: -99.173115<br>lat: 19.453989",,,,,-1,0,-1,,,CdMx,Miguel Hidalgo,Nextitla,Deportivo Plan Sexenal,,Calle Ferrocarril de Cuernavaca,,,"https://www.google.com.mx/maps/place/Deportivo+Plan+Sexenal/@19.4542365,-99.1751592,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1f895efda1e37:0xd664cccbee1d6a82!8m2!3d19.4542315!4d-99.1729651?hl=es",-99.173115,19.453989
