"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","Tipo","entrecalles","colonia","calle","numero_exterior","Necesidades","link_google_maps","lon","lat","entidad","direccion_Verificado","calle_Verificado","numero_Verificado","colonia_Verificado","cp_Verificado","ciudad_municipio_Verificado","estado_Verificado","pais_Verificado","lat_Verificado","long_Verificado"
"-99.2102563, 19.4214259",-99.2102563,19.4214259,"Prado Sur 440","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Prado Sur 440, Lomas - Virreyes, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Prado Sur","440","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4214259,-99.2102563
"-99.2102563, 19.4214259",-99.2102563,19.4214259,"Prado Sur 440","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Prado Sur 440, Lomas - Virreyes, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Prado Sur","440","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4214259,-99.2102563
"-99.2102563, 19.4214259",-99.2102563,19.4214259,"Prado Sur 440","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Prado Sur 440, Lomas - Virreyes, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Prado Sur","440","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4214259,-99.2102563
"-99.2102563, 19.4214259",-99.2102563,19.4214259,"Prado Sur 440","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Prado Sur 440, Lomas - Virreyes, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Prado Sur","440","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4214259,-99.2102563
"-99.2194339, 19.424925",-99.2194339,19.424925,"Montañas Calizas 446","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Montañas Calizas 446, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Montañas Calizas","446","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.424925,-99.2194339
"-99.2194339, 19.424925",-99.2194339,19.424925,"Montañas Calizas 446","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Montañas Calizas 446, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Montañas Calizas","446","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.424925,-99.2194339
"-99.2194339, 19.424925",-99.2194339,19.424925,"Montañas Calizas 446","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Montañas Calizas 446, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Montañas Calizas","446","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.424925,-99.2194339
"-99.2194339, 19.424925",-99.2194339,19.424925,"Montañas Calizas 446","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Montañas Calizas 446, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Montañas Calizas","446","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.424925,-99.2194339
"-99.2194339, 19.424925",-99.2194339,19.424925,"Montañas Calizas 446","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Montañas Calizas 446, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Montañas Calizas","446","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.424925,-99.2194339
"-99.2194339, 19.424925",-99.2194339,19.424925,"Montañas Calizas 446","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Montañas Calizas 446, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Montañas Calizas","446","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.424925,-99.2194339
"-99.2194339, 19.424925",-99.2194339,19.424925,"Montañas Calizas 446","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Montañas Calizas 446, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Montañas Calizas","446","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.424925,-99.2194339
"-99.2194339, 19.424925",-99.2194339,19.424925,"Montañas Calizas 446","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Montañas Calizas 446, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Montañas Calizas","446","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.424925,-99.2194339
"-99.2307103, 19.4191804",-99.2307103,19.4191804,"Sierra Amatepec 193","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Sierra Amatepec 193, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Sierra Amatepec","193","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4191804,-99.2307103
"-99.2307103, 19.4191804",-99.2307103,19.4191804,"Sierra Amatepec 193","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Sierra Amatepec 193, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Sierra Amatepec","193","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4191804,-99.2307103
"-99.2307103, 19.4191804",-99.2307103,19.4191804,"Sierra Amatepec 193","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Sierra Amatepec 193, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Sierra Amatepec","193","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4191804,-99.2307103
"-99.2307103, 19.4191804",-99.2307103,19.4191804,"Sierra Amatepec 193","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Sierra Amatepec 193, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Sierra Amatepec","193","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4191804,-99.2307103
"-99.2307103, 19.4191804",-99.2307103,19.4191804,"Sierra Amatepec 193","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Sierra Amatepec 193, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Sierra Amatepec","193","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4191804,-99.2307103
"-99.2307103, 19.4191804",-99.2307103,19.4191804,"Sierra Amatepec 193","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Sierra Amatepec 193, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Sierra Amatepec","193","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4191804,-99.2307103
"-99.2307103, 19.4191804",-99.2307103,19.4191804,"Sierra Amatepec 193","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Sierra Amatepec 193, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Sierra Amatepec","193","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4191804,-99.2307103
"-99.2307103, 19.4191804",-99.2307103,19.4191804,"Sierra Amatepec 193","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Sierra Amatepec 193, Lomas de Chapultepec V Secc, 11000 Ciudad de México, CDMX, Mexico","Sierra Amatepec","193","Lomas de Chapultepec V Sección",11000,"Miguel Hidalgo","Ciudad de México","Mexico",19.4191804,-99.2307103
"-99.2090266, 19.4377491",-99.2090266,19.4377491,"Cruz Roja","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Luis Vives 200, Polanco, Polanco I Secc, 11510 Ciudad de México, CDMX, Mexico","Luis Vives","200","Polanco I Sección",11510,"Miguel Hidalgo","Ciudad de México","Mexico",19.4377491,-99.2090266
"-99.1963563, 19.429145",-99.1963563,19.429145,"Angela Peralta","Tipo: Centro de acopio<br>entrecalles: <br>colonia: Polanco<br>calle: Aristóteles<br>numero_exterior: S/N<br>Necesidades: <br>link_google_maps: https://www.google.com.mx/maps/place/Angela+Peralta+Theater/@19.429145,-99.1963563,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201ff46af33c5:0xc5815ea7a499dbe0!8m2!3d19.429145!4d-99.1941676<br>lon: -99.1963563<br>lat: 19.429145<br>entidad: CDMX",NA,NA,NA,NA,-1,0,-1,NA,NA,"Centro de acopio",NA,"Polanco","Aristóteles","S/N",NA,"https://www.google.com.mx/maps/place/Angela+Peralta+Theater/@19.429145,-99.1963563,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201ff46af33c5:0xc5815ea7a499dbe0!8m2!3d19.429145!4d-99.1941676",-99.1963563,19.429145,"CDMX","Luis G. Urbina 58, Polanco, Polanco IV Secc, 11550 Ciudad de México, CDMX, Mexico","Luis G. Urbina","58","Polanco IV Sección",11550,"Miguel Hidalgo","Ciudad de México","Mexico",19.429145,-99.1963563
"-99.1911927, 19.4315305",-99.1911927,19.4315305,"Glorieta de Masaryk","Tipo: Centro de Acopio<br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: -99.1911927<br>lat: 19.4315305<br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"Centro de Acopio",NA,"","","",NA,"",-99.1911927,19.4315305,"","Calle Arquímedes 43, Polanco, Polanco IV Secc, 11560 Ciudad de México, CDMX, Mexico","Calle Arquímedes","43","Polanco IV Sección",11560,"Miguel Hidalgo","Ciudad de México","Mexico",19.4315305,-99.1911927
"-99.1850321, 19.429053",-99.1850321,19.429053,"Rubén Darío 115","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Rubén Darío 115, Polanco, Polanco V Secc, 11560 Ciudad de México, CDMX, Mexico","Rubén Darío","115","Polanco V Sección",11560,"Miguel Hidalgo","Ciudad de México","Mexico",19.429053,-99.1850321
"-99.2531538, 19.4009876",-99.2531538,19.4009876,"Bosque de Avellanos 142","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Bosque de Avellanos 142, Bosque de las Lomas, 11700 Ciudad de México, CDMX, Mexico","Bosque de Avellanos","142","Bosque de las Lomas",11700,"Miguel Hidalgo","Ciudad de México","Mexico",19.4009876,-99.2531538
"-99.2418661, 19.3905401",-99.2418661,19.3905401,"Cda. de Bezares 130","Tipo: <br>entrecalles: <br>colonia: <br>calle: <br>numero_exterior: <br>Necesidades: <br>link_google_maps: <br>lon: <br>lat: <br>entidad:",NA,NA,NA,NA,-1,0,-1,NA,NA,"",NA,"","","",NA,"",NA,NA,"","Cda. de Bezares 100, Miguel Hidalgo, 11910 Ciudad de México, CDMX, Mexico","Cerrada de Bezares","100","Miguel Hidalgo",11910,"Miguel Hidalgo","Ciudad de México","Mexico",19.3905401,-99.2418661
